count, mean, std_error
1000, 4.0255, 1.0512372472472593
1000, 4.145, 1.0185651672818987
1000, 3.3935, 0.805548105329534
1000, 3.111, 0.46117133475532196
1000, 3.0415, 0.2872764348149709
999, 3.033, 0.2931057829521579
993, 3.0015, 0.3365230304154507
969, 2.9345, 0.5774597388563096
887, 2.697, 1.0075668712299009
720, 2.197, 1.4000682126239272
539, 1.654, 1.5537966404906391
356, 1.094, 1.4890144391509526
221, 0.678, 1.2862021614038692
116, 0.357, 0.995766538903568
66, 0.206, 0.7845788679285186
34, 0.104, 0.5578386863601317
17, 0.051, 0.3878130993146037
8, 0.024, 0.2672526894158432
3, 0.009, 0.16407010696650512
3, 0.009, 0.16407010696650512
2, 0.006, 0.1340298474221323
1, 0.003, 0.09482088377567482
